ranking_id,assessor_id,task_id,choice_set,observed_ranking
1,1,1,"4,7","7,4"
2,1,2,"7,8","7,8"
3,1,3,"7,8","7,8"
4,1,4,"4,7,8","7,4,8"
5,1,5,"7,8","7,8"
6,1,6,"4,8","4,8"
7,1,7,"4,8","4,8"
8,1,8,"4,7","7,4"
9,1,9,"4,7,8","8,7,4"
10,1,10,"4,7,8","7,4,8"
11,1,11,"4,8","4,8"
12,1,12,"4,7,8","7,4,8"
13,1,13,"4,7,8","8,7,4"
14,1,14,"7,8","7,8"
15,1,15,"7,8","7,8"
16,1,16,"4,7,8","7,4,8"
17,1,17,"4,7,8","7,4,8"
18,1,18,"4,8","4,8"
19,1,19,"4,8","4,8"
20,1,20,"7,8","8,7"
21,1,21,"4,7","7,4"
22,1,22,"4,7,8","7,4,8"
23,1,23,"7,8","7,8"
24,1,24,"4,7,8","7,4,8"
25,1,25,"4,8","4,8"
26,1,26,"4,8","4,8"
27,1,27,"4,7,8","7,4,8"
28,1,28,"4,7,8","7,4,8"
29,1,29,"4,7,8","7,4,8"
30,1,30,"4,7","7,4"
31,2,1,"0,4","4,0"
32,2,2,"2,3,7","7,2,3"
33,2,3,"0,1,2,3,7,9","1,2,3,9,7,0"
34,2,4,"0,1,2,3,4,7","1,2,3,7,4,0"
35,2,5,"1,2","1,2"
36,2,6,"0,1,2","1,0,2"
37,2,7,"0,1,3,4,7,9","1,7,9,3,4,0"
38,2,8,"0,1,2,3,4,7,9","1,7,2,3,4,9,0"
39,2,9,"0,1,2,3,4,9","1,4,2,9,3,0"
40,2,10,"0,3,9","9,3,0"
41,2,11,"0,7","7,0"
42,2,12,"0,3,4,7,9","3,7,9,4,0"
43,2,13,"0,1,2,3,4,7,9","1,4,7,2,9,3,0"
44,2,14,"1,2,3,4,7,9","1,4,7,2,3,9"
45,2,15,"0,2,3,4,9","2,4,9,3,0"
46,2,16,"0,1","1,0"
47,2,17,"0,1,3,4,7,9","1,3,7,9,4,0"
48,2,18,"0,1,2,3,4,7,9","1,7,2,9,3,4,0"
