assessor_id,task_id,ranking
1,0,"0,5,7,8,9,1,6,3"
1,1,"0,5,7,8,9,6,3"
1,2,"0,5,7,9,8,6,3"
1,3,"8,1"
1,4,"0,5,8,9,6"
1,5,"0,7,8,9,1,6,3"
1,6,"5,7"
1,7,"6,0,7,8,9,1"
1,8,"0,5,7,8,9,1,6,3"
1,9,"0,5,7,8,9,6,3"
1,10,"0,7,8,9,1,6,3"
1,11,"0,5,7,8,6,3"
1,12,"0,7,8,9,1,6,3"
1,13,"7,6"
1,14,"0,5,8,9,6"
1,15,"0,5,7,8,9,1,6"
1,16,"1,6"
1,17,"0,3"
1,18,"8,9"
1,19,"5,7,6,3"
1,20,"0,5,7,8,9,1,6,3"
1,21,"8,1,3"
1,22,"0,5,7,9,1,6,3"
1,23,"5,8,6,3"
1,24,"0,9"
1,25,"0,5,7,1,3"
1,26,"0,5,7,8,9,1,6,3"
1,27,"5,7,9,1,6,3"
1,28,"0,5,7,8,9,1,6,3"
1,29,"0,5,7,8,9,6,3"
1,30,"5,8"
1,31,"0,5,8,1,6,3"
1,32,"0,5,7,9,1,6"
1,33,"5,7,1,6"
1,34,"0,5,8"
1,35,"1,0,5,8,9,6,3"
1,36,"5,7,9,1,6,3"
1,37,"0,5,7,8,1,3"
1,38,"0,5,7,8,9,6"
1,39,"7,9"
1,40,"0,7,8,9,3"
1,41,"0,7,8,9,6"
1,42,"6,0,5,7,8,9,1,3"
1,43,"5,7,8,9,1,6,3"
2,0,"5,2,9,3"
2,1,"5,0,3"
2,2,"0,9,3"
2,3,"5,0"
2,4,"5,2,9,3"
2,5,"5,0,2,9,3"
2,6,"5,0,2,9"
2,7,"5,0,9,3"
2,8,"5,0,2,9,3"
2,9,"5,0"
2,10,"0,3"
2,11,"0,2"
2,12,"0,5,2,9,3"
2,13,"5,0,2,9,3"
2,14,"3,5,2,9"
2,15,"0,5,2,9,3"
2,16,"5,0,2,9,3"
2,17,"5,2,3"
2,18,"0,5,9,3"
2,19,"5,0,2"
2,20,"5,2,9,3"
2,21,"0,2,9,3"
2,22,"0,5,2,9,3"
2,23,"5,2,9,3"
2,24,"2,3"
2,25,"0,5,2,9,3"
2,26,"0,9,2"
2,27,"5,3"
2,28,"2,0,5,9,3"
2,29,"0,2,3"
2,30,"0,5,2,3"
2,31,"5,0,2,9,3"
2,32,"5,9"
2,33,"5,0,2"
2,34,"5,0"
3,0,"0,4"
3,1,"0,7,4,6"
3,2,"7,4,6"
3,3,"0,7,4,6"
3,4,"0,7,4"
3,5,"0,4"
3,6,"4,6"
3,7,"0,7,4,6"
3,8,"0,4,6"
3,9,"0,6,7,4"
3,10,"0,7,4,6"
3,11,"0,7,4,6"
3,12,"7,4,6"
3,13,"7,4"
3,14,"0,6,7,4"
3,15,"7,4,6"
3,16,"4,6"
3,17,"7,4"
3,18,"0,7,4,6"
3,19,"4,6"
3,20,"7,4,6"
3,21,"0,7,6"
3,22,"7,4"
3,23,"0,7,6"
3,24,"0,7,6"
3,25,"7,6"
3,26,"7,6"
3,27,"7,6"
3,28,"0,6"
3,29,"7,4,6"
3,30,"4,6"
3,31,"0,7,4,6"
3,32,"0,4,6"
4,0,"0,9,6,3"
4,1,"0,9,6,4,3"
4,2,"7,0,4"
4,3,"6,9"
4,4,"7,0,9,6"
4,5,"7,3,0,9,6"
4,6,"7,0,9,6,4,3"
4,7,"7,0,9,4,3"
4,8,"7,0,6,4"
4,9,"7,9,4,3"
4,10,"7,6"
4,11,"7,9,4,3"
4,12,"0,9,6"
4,13,"7,9,6,4"
4,14,"9,4"
4,15,"7,0,4,3"
4,16,"7,0,9,4,3"
4,17,"7,0"
4,18,"6,4,3"
4,19,"7,6"
4,20,"7,0,9,6,4,3"
4,21,"7,0,9,4,3"
4,22,"7,0,9,6,3"
4,23,"7,0,9,6,4,3"
4,24,"4,3"
4,25,"7,0,9,6,4,3"
4,26,"7,9,6,3"
4,27,"7,3,0,9,6,4"
4,28,"7,0,9,6,4,3"
4,29,"7,0,9,6,4,3"
4,30,"7,0,6"
4,31,"7,0,9,6"
4,32,"9,4,3"
4,33,"7,0,6,4,3"
4,34,"7,0,9,6"
4,35,"9,4"
4,36,"7,0,9,6,4"
4,37,"9,6"
4,38,"7,9,6,4,3"
4,39,"0,9,6,4,3"
4,40,"0,9,3"
4,41,"9,6"
4,42,"7,0,4,3"
4,43,"0,9,6,4"
4,44,"6,0"
5,0,"0,5"
5,1,"0,5,8,2,9,1"
5,2,"0,5,1,9"
5,3,"0,5,9"
5,4,"0,5,8,2,1,9,6"
5,5,"0,5,1,9"
5,6,"0,5,8,2,1,6"
5,7,"0,8,2,9"
5,8,"5,1,6"
5,9,"0,8,9,6"
5,10,"0,5,9,1"
5,11,"2,1,6"
5,12,"0,8"
5,13,"5,8,1,9"
5,14,"0,9,5,8,2,1,6"
5,15,"0,5,8,2,9,1,6"
5,16,"0,6"
5,17,"5,8,2,6"
5,18,"2,1"
5,19,"0,5,9,6"
5,20,"8,2,1"
5,21,"5,0,8,2,9"
5,22,"5,9,6"
5,23,"0,9"
5,24,"5,2,9,1"
5,25,"5,8,2,9,1,6"
