assessor_id,task_id,ranking
1,0,"5,4"
1,1,"5,4"
1,2,"5,4"
1,3,"5,4"
1,4,"4,5"
1,5,"5,4"
1,6,"5,4"
1,7,"5,4"
1,8,"5,4"
1,9,"5,4"
1,10,"5,4"
1,11,"5,4"
1,12,"5,4"
1,13,"5,4"
2,0,"0,2,1,3"
2,1,"0,1,2,3"
2,2,"2,3"
2,3,"0,3"
2,4,"2,0,1,3"
2,5,"1,0,2,3"
2,6,"2,0,3"
2,7,"2,0,1,3"
2,8,"0,1,2,3"
2,9,"0,1,2,3"
2,10,"0,3"
2,11,"3,1"
2,12,"2,3"
2,13,"0,1"
2,14,"1,2,3"
2,15,"0,1,2,3"
2,16,"0,1,3"
2,17,"1,3"
2,18,"2,3"
2,19,"2,1,3"
2,20,"0,1,2,3"
2,21,"0,1,3,2"
2,22,"0,2,1,3"
2,23,"2,3"
2,24,"0,2,3"
3,0,"0,3"
3,1,"3,0,1"
3,2,"0,3,1"
3,3,"0,1,3"
3,4,"1,3"
3,5,"0,3"
3,6,"1,3"
3,7,"0,3"
3,8,"0,1,3"
3,9,"0,1,3"
3,10,"1,3"
3,11,"0,1,3"
3,12,"0,1,3"
3,13,"0,1,3"
3,14,"0,1,3"
3,15,"0,3"
3,16,"1,3"
4,0,"4,5"
4,1,"5,4"
4,2,"5,4"
4,3,"4,5"
4,4,"5,4"
4,5,"5,4"
4,6,"5,4"
4,7,"5,4"
4,8,"5,4"
4,9,"5,4"
4,10,"5,4"
4,11,"5,4"
4,12,"5,4"
4,13,"5,4"
4,14,"5,4"
4,15,"5,4"
5,0,"5,4,2,1"
5,1,"1,5,4,2,3"
5,2,"1,4,5,3,2"
5,3,"2,1"
5,4,"2,3,1"
5,5,"1,5,4,3"
5,6,"5,2,1,3"
5,7,"5,2"
5,8,"4,1,5,2,3"
5,9,"5,1,2"
5,10,"5,4,1,3,2"
5,11,"1,5,4,2,3"
5,12,"4,5"
5,13,"2,1,4,3,5"
5,14,"5,2,1,3"
5,15,"4,2,3"
5,16,"4,5,2,1,3"
5,17,"4,3,5,1,2"
5,18,"1,5,4,2,3"
5,19,"5,2"
5,20,"4,2,3"
5,21,"5,4,2,1,3"
5,22,"5,2"
5,23,"4,1,5,2,3"
5,24,"4,5,1,2,3"
5,25,"5,1"
5,26,"4,1,2"
5,27,"1,4,3"
5,28,"4,5,2,3"
5,29,"4,5"
5,30,"1,5,3"
5,31,"2,3,5,4,1"
5,32,"5,3"
5,33,"5,2"
5,34,"5,4,3"
5,35,"4,5,2,3"
5,36,"4,1,3"
5,37,"5,1,3,4,2"
5,38,"5,1,4,3,2"
5,39,"2,4"
5,40,"4,5,2,3"
5,41,"5,2"
5,42,"4,5,2"
5,43,"4,5,2,1,3"
5,44,"4,5,1,2,3"
