assessor_id,task_id,ranking
1,0,"0,9,4"
1,1,"0,9,4"
1,2,"0,9,4"
1,3,"0,9,4"
1,4,"0,9"
1,5,"4,0"
1,6,"0,4"
1,7,"0,9,4"
1,8,"9,4"
1,9,"0,4,9"
1,10,"0,4,9"
1,11,"0,9,4"
1,12,"0,9,4"
1,13,"0,4"
1,14,"0,9"
1,15,"0,4,9"
1,16,"0,4,9"
1,17,"4,9"
1,18,"0,9"
1,19,"0,4,9"
1,20,"0,9"
1,21,"0,9"
1,22,"0,9,4"
1,23,"0,9,4"
2,0,"6,0,8,3"
2,1,"0,6,3"
2,2,"6,0,8,3"
2,3,"0,6,8,3"
2,4,"0,6,8,3"
2,5,"8,6,3"
2,6,"6,3,8"
2,7,"6,3"
2,8,"0,6,3"
2,9,"6,0,8,3"
2,10,"0,3"
2,11,"6,0,3"
2,12,"0,6,8,3"
2,13,"6,0,8,3"
2,14,"6,0,8,3"
2,15,"6,8,3"
2,16,"6,0,8,3"
2,17,"0,6,8,3"
2,18,"6,8,3"
2,19,"6,8,3"
2,20,"6,0,8,3"
2,21,"0,8"
2,22,"8,6"
2,23,"0,6"
2,24,"6,8"
2,25,"0,6,8,3"
2,26,"6,3"
2,27,"0,8,3"
2,28,"0,3"
2,29,"6,0,8,3"
2,30,"6,0,8,3"
2,31,"0,8"
2,32,"6,3"
2,33,"0,3,6,8"
3,0,"1,0,5,3"
3,1,"0,3"
3,2,"5,3"
3,3,"5,3"
3,4,"3,1"
3,5,"1,5"
3,6,"1,0,5,3"
3,7,"5,0,3,1"
3,8,"5,3"
3,9,"5,3"
3,10,"0,5"
3,11,"1,0,5,3"
3,12,"5,1,0"
3,13,"1,5,0,3"
3,14,"0,5,3"
3,15,"5,0"
3,16,"0,3"
3,17,"5,0,1"
3,18,"0,1,5,3"
3,19,"1,5,0"
3,20,"5,1,0,3"
3,21,"1,5,0,3"
3,22,"3,1"
3,23,"5,1,0"
3,24,"1,0"
3,25,"5,0,1"
3,26,"3,1"
3,27,"0,5"
3,28,"5,0,3"
3,29,"5,0,1,3"
3,30,"3,5,0,1"
3,31,"5,0,1,3"
3,32,"0,5,3"
3,33,"1,0,5,3"
3,34,"5,1,0"
3,35,"1,5,0,3"
3,36,"5,1"
4,0,"0,7,5,3,8,9"
4,1,"0,7,5,8,4,2,9"
4,2,"0,8,2,6"
4,3,"0,7,5,9,4,8,1,2,6,3"
4,4,"0,7,5,6,4,8,2,1,9,3"
4,5,"7,5,4,8,2,1,6,9,3"
4,6,"8,9"
4,7,"0,7,2,6"
4,8,"1,3"
4,9,"0,7,4,3,8,2,9"
4,10,"5,2"
4,11,"0,7,5,4,8,2,1,6,9,3"
4,12,"0,8,1,3"
4,13,"0,5,8,9,4,1,6,2,3"
4,14,"0,7,5,4,8,2,6,9"
4,15,"0,7,5,8,1,6,9,3"
4,16,"0,8"
4,17,"5,6,3"
4,18,"5,8,0,7,4,1,2,6,9,3"
4,19,"7,4,8,1"
4,20,"0,7,6"
4,21,"0,7,5,4,1,2,9,3"
4,22,"7,8,6"
4,23,"7,8,4,1,2,6,9,3"
4,24,"0,7,5,4,8,2,1,6,9,3"
4,25,"0,1"
5,0,"8,1,9"
5,1,"6,2,4,3"
5,2,"6,4,3"
5,3,"5,0,9,1,4,3"
5,4,"0,1,9,6,4"
5,5,"1,2,8,9,4,6,3"
5,6,"5,6"
5,7,"0,5,1,4,3"
5,8,"5,0,8,2,1,4,3"
5,9,"6,1"
5,10,"0,8,9,4"
5,11,"0,5,8,2,6,9,1,4,3"
5,12,"5,3"
5,13,"5,3"
5,14,"4,3"
5,15,"9,5,0,6,8,1,2,4,3"
5,16,"0,5,1,8,2,6,9,4,3"
5,17,"1,0,5,8,2,6,4,3"
5,18,"5,0,1,6,9,3,2,8,4"
5,19,"5,9,4,3"
5,20,"5,0,2,9,6,1,8,4,3"
5,21,"1,3"
5,22,"5,3,8,9,2,4"
5,23,"2,9"
5,24,"5,2,3"
5,25,"0,5,1,2,8,6,3"
5,26,"0,6,4,3"
5,27,"5,0,8,9,1,2,4,3"
5,28,"5,8,2,6,4,3"
5,29,"9,1,4,3"
5,30,"0,5,9,6,8,2,4"
5,31,"0,5,2,6,1,8,9,4,3"
5,32,"0,5,6,8,2,9,1,3"
5,33,"5,4,3"
5,34,"0,2,9,6,3"
5,35,"5,0,8,2,9,6,4,3"
5,36,"0,5,2,6,8,9,1,4,3"
5,37,"5,0,8,9,2,1,6,3"
5,38,"1,4"
5,39,"9,5,0,6,2,8,1,4,3"
5,40,"5,0,2,6,8,1,9,4,3"
5,41,"0,5,2,6,9,1,8,4,3"
5,42,"0,5,2,9,3,8,6,1,4"
5,43,"5,0,8,1,3"
5,44,"0,6,8,9,4"
5,45,"0,5,9,8,1,2,6,4,3"
5,46,"9,5,0,8,2,6,1,4,3"
5,47,"5,0,1,2,3"
5,48,"5,2,9"
5,49,"5,0,2,8,6,4,3"
5,50,"5,8,1,9,4,6"
5,51,"5,0,2,1,8,3"
5,52,"0,2,5,1,6,9,8,4,3"
5,53,"5,9,1,2,6,4,3"
5,54,"0,5,8,6,1,9,2,4,3"
5,55,"0,2,1,9,6,4,3"
5,56,"5,0,8,6,2,9,1,4,3"
5,57,"5,0,8,9,4,3"
5,58,"0,8,1"
5,59,"0,5,9,6,1,8,4,3"
5,60,"5,2,3"
5,61,"2,6,8,4,3"
5,62,"5,0,1,9,8,6,4,3"
5,63,"2,0,5,1,8,6,9,4,3"
5,64,"5,9,6,1,3"
5,65,"0,8,9,2,4,3"
5,66,"0,8,5,1,6,9,2,4,3"
5,67,"5,1,6"
5,68,"0,2"
5,69,"0,6,1,4"
5,70,"5,9,4,3"
5,71,"3,5,0,8,6,1,4"
5,72,"0,2,8"
5,73,"5,8,9,6,1,4,3"
5,74,"0,5,2,8,9,6,4,3"
5,75,"2,1,4"
5,76,"0,5,8,2,4,6"
5,77,"0,6"
5,78,"0,5,9,1,8,2,4,6,3"
5,79,"0,5,9,2,8,6,4,3"
5,80,"0,8,9,3"
5,81,"5,2,9,3"
5,82,"5,1,9,8,4"
5,83,"9,2,3,4"
